codigo_postal,nombre,provincia
01001,Vitoria/Gasteiz ,01XXX Alava/Araba
01002,Vitoria/Gasteiz ,01XXX Alava/Araba
01003,Vitoria/Gasteiz ,01XXX Alava/Araba
01004,Vitoria/Gasteiz ,01XXX Alava/Araba
01005,Vitoria/Gasteiz ,01XXX Alava/Araba
01006,Vitoria/Gasteiz ,01XXX Alava/Araba
01007,Vitoria/Gasteiz ,01XXX Alava/Araba
01008,Vitoria/Gasteiz ,01XXX Alava/Araba
01009,Vitoria/Gasteiz ,01XXX Alava/Araba
01010,Vitoria/Gasteiz ,01XXX Alava/Araba
01012,Vitoria/Gasteiz ,01XXX Alava/Araba
01013,Vitoria/Gasteiz ,01XXX Alava/Araba
01015,Vitoria/Gasteiz ,01XXX Alava/Araba
01070,Vitoria/Gasteiz CODIGO CORRESPONDENCIA OFICIAL CORREOS-TELEGRAFOS,01XXX Alava/Araba
01071,Vitoria/Gasteiz CODIGO CORRESPONDENCIA PARA ORGANISMOS OFICIALES,01XXX Alava/Araba
01080,Vitoria/Gasteiz CODIGO POSTAL PARA APARTADOS PARTICULARES Y LISTA,01XXX Alava/Araba
01110,CAMPEZO,01XXX Alava/Araba
01110,KANPEZU,01XXX Alava/Araba
01110,SANTA CRUZ DE CAMPEZO-SANTIKURUTZE KANPEZU,01XXX Alava/Araba
01117,ALDA,01XXX Alava/Araba
01117,DONE BIKENDI HARANA,01XXX Alava/Araba
01117,HARANA,01XXX Alava/Araba
01117,KONTRASTA,01XXX Alava/Araba
01117,ORBISO,01XXX Alava/Araba
01117,OTEO,01XXX Alava/Araba
01117,SAN VICENTE DE ARANA,01XXX Alava/Araba
01117,ULLIBARRI-ARANA,01XXX Alava/Araba
01117,URIBARRI-HARANA,01XXX Alava/Araba
01117,VALLE DE ARANA,01XXX Alava/Araba
01118,ANGOSTINA,01XXX Alava/Araba
01118,BERNEDO,01XXX Alava/Araba
01118,LAGRAN,01XXX Alava/Araba
01118,NAFARRETE,01XXX Alava/Araba
01118,PIPAON,01XXX Alava/Araba
01118,URTURI,01XXX Alava/Araba
01118,VILLAFRIA,01XXX Alava/Araba
01118,VILLAVERDE,01XXX Alava/Araba
01120,ARRAIA-MAEZTU,01XXX Alava/Araba
01120,MAESTU,01XXX Alava/Araba
01128,ANTOÑANA,01XXX Alava/Araba
01128,ATAURI,01XXX Alava/Araba
01128,AZAZETA,01XXX Alava/Araba
01128,BERROZI,01XXX Alava/Araba
01128,BUJANDA,01XXX Alava/Araba
01128,BUXANDA,01XXX Alava/Araba
01128,DURRUMA KANPEZU,01XXX Alava/Araba
01128,KINTANA,01XXX Alava/Araba
01128,SAN ROMAN DE CAMPEZO,01XXX Alava/Araba
01129,ALETXA,01XXX Alava/Araba
01129,APELLANIZ,01XXX Alava/Araba
01129,APINANIZ,01XXX Alava/Araba
01129,AREATZA,01XXX Alava/Araba
01129,ARENAZA,01XXX Alava/Araba
01129,BIRGARA BARREN,01XXX Alava/Araba
01129,BIRGARA GOIEN,01XXX Alava/Araba
01129,CICUJANO,01XXX Alava/Araba
01129,ELORTZA,01XXX Alava/Araba
01129,ERROETA,01XXX Alava/Araba
01129,ERROITEGI,01XXX Alava/Araba
01129,IBISATE,01XXX Alava/Araba
01129,KORRES,01XXX Alava/Araba
01129,LEORZA,01XXX Alava/Araba
01129,MUSITU,01XXX Alava/Araba
01129,ONRAITA,01XXX Alava/Araba
01129,ROITEGUI,01XXX Alava/Araba
01129,SABANDO,01XXX Alava/Araba
01129,VIRGALA MAYOR,01XXX Alava/Araba
01129,VIRGALA MENOR,01XXX Alava/Araba
01129,ZEKUIANO,01XXX Alava/Araba
01130,MURGUIA,01XXX Alava/Araba
01130,ZUIA,01XXX Alava/Araba
01138,ACOSTA,01XXX Alava/Araba
01138,APODAKA,01XXX Alava/Araba
01138,BERRIKANO,01XXX Alava/Araba
01138,BURUAGA,01XXX Alava/Araba
01138,ERIBE,01XXX Alava/Araba
01138,ETXAGUEN (ZIGOITIA),01XXX Alava/Araba
01138,GOPEGI,01XXX Alava/Araba
01138,LARRINOA,01XXX Alava/Araba
01138,LETONA,01XXX Alava/Araba
01138,MANURGA,01XXX Alava/Araba
01138,MURUA,01XXX Alava/Araba
01138,OKOIZTA,01XXX Alava/Araba
01138,OLANO,01XXX Alava/Araba
01138,ONDATEGI,01XXX Alava/Araba
01138,ZAITEGI,01XXX Alava/Araba
01138,ZESTAFE,01XXX Alava/Araba
01138,ZIGOITIA,01XXX Alava/Araba
01139,ALTUBE,01XXX Alava/Araba
01139,AMETZAGA (ZUIA),01XXX Alava/Araba
01139,APERREGI,01XXX Alava/Araba
01139,BITORIANO,01XXX Alava/Araba
01139,DOMAIKIA,01XXX Alava/Araba
01139,GILIERNA,01XXX Alava/Araba
01139,GUILLERNA,01XXX Alava/Araba
01139,JUGO,01XXX Alava/Araba
01139,LUKIANO,01XXX Alava/Araba
01139,MARKINA,01XXX Alava/Araba
01139,SARRIA,01XXX Alava/Araba
01139,ZARATE,01XXX Alava/Araba
01160,IBARRA,01XXX Alava/Araba
01165,OLAETA,01XXX Alava/Araba
01169,ARAMAIO,01XXX Alava/Araba
01169,AREXOLA,01XXX Alava/Araba
01169,AZKOAGA,01XXX Alava/Araba
01169,BARAJUEN,01XXX Alava/Araba
01169,ETXAGUEN,01XXX Alava/Araba
01169,GANTZAGA,01XXX Alava/Araba
01169,UNTZILLA,01XXX Alava/Araba
01169,URIBARRI,01XXX Alava/Araba
01170,ELOSU,01XXX Alava/Araba
01170,GOIAIN,01XXX Alava/Araba
01170,LEGUTIANO,01XXX Alava/Araba
01170,URRUNAGA,01XXX Alava/Araba
01191,ASTEGIETA,01XXX Alava/Araba
01191,ESTARRONA,01XXX Alava/Araba
01191,GOBEO,01XXX Alava/Araba
01191,HUETO ABAJO,01XXX Alava/Araba
01191,HUETO ARRIBA,01XXX Alava/Araba
01191,MARTIODA,01XXX Alava/Araba
01191,MENDOZA,01XXX Alava/Araba
01191,OTO BARREN,01XXX Alava/Araba
01191,OTO GOIEN,01XXX Alava/Araba
01191,TRASPONTE,01XXX Alava/Araba
01191,TRESPUENTES,01XXX Alava/Araba
01191,ULLIBARRI-VIÑA,01XXX Alava/Araba
01191,URIBARRI-DIBIÑA,01XXX Alava/Araba
01192,AÑUA,01XXX Alava/Araba
01192,ARBULO,01XXX Alava/Araba
01192,ARBURU,01XXX Alava/Araba
01192,ARGOMANIZ,01XXX Alava/Araba
01192,ARKAUTE,01XXX Alava/Araba
01192,BURGELU,01XXX Alava/Araba
01192,ELBURGO,01XXX Alava/Araba
01192,ELORRIAGA,01XXX Alava/Araba
01192,GACETA,01XXX Alava/Araba
01192,GAZETA,01XXX Alava/Araba
01192,ILARRATZA,01XXX Alava/Araba
01192,JUNGITU,01XXX Alava/Araba
01192,LUBIANO,01XXX Alava/Araba
01192,MATAUCO,01XXX Alava/Araba
01192,OREITIA,01XXX Alava/Araba
01192,ZERIO,01XXX Alava/Araba
01193,ABERASTURI,01XXX Alava/Araba
01193,ACILU,01XXX Alava/Araba
01193,ANDOLLU,01XXX Alava/Araba
01193,ARGANDOÑA,01XXX Alava/Araba
01193,ARKAIA,01XXX Alava/Araba
01193,ASKARZA,01XXX Alava/Araba
01193,AZILU,01XXX Alava/Araba
01193,EGUILETA,01XXX Alava/Araba
01193,ERENCHUN,01XXX Alava/Araba
01193,ERENTXUN,01XXX Alava/Araba
01193,GAUNA,01XXX Alava/Araba
01193,HIJONA,01XXX Alava/Araba
01193,IRURAIZ-GAUNA,01XXX Alava/Araba
01193,IXONA,01XXX Alava/Araba
01193,TROKONIZ,01XXX Alava/Araba
01193,VILLAFRANCA,01XXX Alava/Araba
01194,ARETXABALETA,01XXX Alava/Araba
01194,BERROSTEGIETA,01XXX Alava/Araba
01194,BOLIBAR,01XXX Alava/Araba
01194,CASTILLO,01XXX Alava/Araba
01194,ESKIBEL,01XXX Alava/Araba
01194,GAMIZ,01XXX Alava/Araba
01194,GARDELEGI,01XXX Alava/Araba
01194,GAZTELU,01XXX Alava/Araba
01194,IZARTZA,01XXX Alava/Araba
01194,LASARTE,01XXX Alava/Araba
01194,MENDIOLA,01XXX Alava/Araba
01194,MONASTERIOGUREN,01XXX Alava/Araba
01194,OKINA,01XXX Alava/Araba
01194,OTAZU,01XXX Alava/Araba
01194,ULLIBARRI DE LOS OLLEROS,01XXX Alava/Araba
01194,URIBARRI NAGUSIA,01XXX Alava/Araba
01195,ARINIZ,01XXX Alava/Araba
01195,ARIÑEZ,01XXX Alava/Araba
01195,BILODA,01XXX Alava/Araba
01195,CRISPIJANA,01XXX Alava/Araba
01195,GOMETXA,01XXX Alava/Araba
01195,KRISPIÑANA,01XXX Alava/Araba
01195,LERMANDA,01XXX Alava/Araba
01195,MARGARITA,01XXX Alava/Araba
01195,SUBIJANA DE ALAVA,01XXX Alava/Araba
01195,SUBILLANA-GASTEIZ,01XXX Alava/Araba
01195,VILLODAS,01XXX Alava/Araba
01195,ZUAZO DE VITORIA,01XXX Alava/Araba
01195,ZUHATZU,01XXX Alava/Araba
01195,ZUMELTZU,01XXX Alava/Araba
01195,ZUMELZU,01XXX Alava/Araba
01196,ANTEZANA,01XXX Alava/Araba
01196,ARANGIZ,01XXX Alava/Araba
01196,ARTAZA FORONDA,01XXX Alava/Araba
01196,ETXABARRI-IBIÑA,01XXX Alava/Araba
01196,FORONDA,01XXX Alava/Araba
01196,GEREÑA,01XXX Alava/Araba
01196,IURRE,01XXX Alava/Araba
01196,LEGARDA,01XXX Alava/Araba
01196,LOPIDANA,01XXX Alava/Araba
01196,MANDOJANA,01XXX Alava/Araba
01196,MENDAROZKETA,01XXX Alava/Araba
01196,MENDIGUREN,01XXX Alava/Araba
01200,AGURAIN,01XXX Alava/Araba
01200,SALVATIERRA,01XXX Alava/Araba
01206,ARRIETA,01XXX Alava/Araba
01206,AUDIKANA,01XXX Alava/Araba
01206,BARRUNDIA,01XXX Alava/Araba
01206,DALLO,01XXX Alava/Araba
01206,ELGEA,01XXX Alava/Araba
01206,ETURA,01XXX Alava/Araba
01206,ETXABARRI-URTUPIÑA,01XXX Alava/Araba
01206,EZKEREKOTXA,01XXX Alava/Araba
01206,GAZEO,01XXX Alava/Araba
01206,GUEVARA,01XXX Alava/Araba
01206,HEREDIA,01XXX Alava/Araba
01206,LANGARIKA,01XXX Alava/Araba
01206,MARIETA LARRINZAR,01XXX Alava/Araba
01206,MATURANA,01XXX Alava/Araba
01206,MENDIJUR,01XXX Alava/Araba
01206,OZAETA,01XXX Alava/Araba
01207,ADANA,01XXX Alava/Araba
01207,ALAIZA,01XXX Alava/Araba
01207,ALANGUA,01XXX Alava/Araba
01207,ARRIZALA,01XXX Alava/Araba
01207,BIKUÑA,01XXX Alava/Araba
01207,DURRUMA DONEMILIAGA,01XXX Alava/Araba
01207,EGILATZ,01XXX Alava/Araba
01207,EGILEOR,01XXX Alava/Araba
01207,EGUILAZ,01XXX Alava/Araba
01207,GEREÑU,01XXX Alava/Araba
01207,GUEREÑU,01XXX Alava/Araba
01207,JAUREGI,01XXX Alava/Araba
01207,JAUREGUI,01XXX Alava/Araba
01207,MEZKIA,01XXX Alava/Araba
01207,MUNAIN,01XXX Alava/Araba
01207,OKARIZ,01XXX Alava/Araba
01207,OPAKUA,01XXX Alava/Araba
01207,SAN ROMAN DE SAN MILLAN,01XXX Alava/Araba
01207,TXINTXETRU,01XXX Alava/Araba
01207,ULLIBARRI-JAUREGI,01XXX Alava/Araba
01207,URIBARRI-JAUREGI,01XXX Alava/Araba
01207,VICUÑA,01XXX Alava/Araba
01208,ALBENIZ,01XXX Alava/Araba
01208,AMETZAGA,01XXX Alava/Araba
01208,ARRIOLA,01XXX Alava/Araba
01208,ASPURU,01XXX Alava/Araba
01208,AXPURU,01XXX Alava/Araba
01208,DONEMILIAGA,01XXX Alava/Araba
01208,ERDOÑANA,01XXX Alava/Araba
01208,GALARRETA,01XXX Alava/Araba
01208,GORDOA,01XXX Alava/Araba
01208,HERMUA,01XXX Alava/Araba
01208,LARREA,01XXX Alava/Araba
01208,LUZURIAGA,01XXX Alava/Araba
01208,NARBAXA,01XXX Alava/Araba
01208,ORDOÑANA,01XXX Alava/Araba
01208,SAN MILLAN,01XXX Alava/Araba
01208,ZALDUONDO,01XXX Alava/Araba
01208,ZUAZO DE SAN MILLAN,01XXX Alava/Araba
01208,ZUHATZU DONEMILIAGA,01XXX Alava/Araba
01211,BAROJA,01XXX Alava/Araba
01211,BAROJA,01XXX Alava/Araba
01211,BAROLA,01XXX Alava/Araba
01211,BAROLA,01XXX Alava/Araba
01211,BERANTEVILLA,01XXX Alava/Araba
01211,BERANTEVILLA,01XXX Alava/Araba
01211,ESCANZANA,01XXX Alava/Araba
01211,ESCANZANA,01XXX Alava/Araba
01211,LACORZANA,01XXX Alava/Araba
01211,LACORZANA,01XXX Alava/Araba
01211,LACORZANILLA,01XXX Alava/Araba
01211,LACORZANILLA,01XXX Alava/Araba
01211,MIJANCAS,01XXX Alava/Araba
01211,MIJANCAS,01XXX Alava/Araba
01211,PAGOETA,01XXX Alava/Araba
01211,PAGOETA,01XXX Alava/Araba
01211,PAYUETA,01XXX Alava/Araba
01211,PAYUETA,01XXX Alava/Araba
01211,SANTURDE,01XXX Alava/Araba
01211,SANTURDE,01XXX Alava/Araba
01211,TOBERA,01XXX Alava/Araba
01211,TOBERA,01XXX Alava/Araba
01212,BERGANZO,01XXX Alava/Araba
01212,BURADON GATZAGA,01XXX Alava/Araba
01212,LOZA,01XXX Alava/Araba
01212,MONTORIA,01XXX Alava/Araba
01212,OCIO,01XXX Alava/Araba
01212,PEÑACERRADA,01XXX Alava/Araba
01212,PORTILLA,01XXX Alava/Araba
01212,SALINILLAS DE BURADON,01XXX Alava/Araba
01212,SANTA CRUZ DEL FIERRO,01XXX Alava/Araba
01212,URIZAHARRA,01XXX Alava/Araba
01212,ZAMBRANA,01XXX Alava/Araba
01213,CAICEDO DE YUSO,01XXX Alava/Araba
01213,COMUNION,01XXX Alava/Araba
01213,ERRIBERA BEITIA,01XXX Alava/Araba
01213,IGAI,01XXX Alava/Araba
01213,KAICEDO BEHEKOA,01XXX Alava/Araba
01213,KOMUNIOI,01XXX Alava/Araba
01213,LANTARON,01XXX Alava/Araba
01213,LECIÑANA DEL CAMINO,01XXX Alava/Araba
01213,LEZIÑANA,01XXX Alava/Araba
01213,MELLEDES,01XXX Alava/Araba
01213,MOLINILLA,01XXX Alava/Araba
01213,QUINTANILLA DE LA RIBERA,01XXX Alava/Araba
01213,RIBERA BAJA,01XXX Alava/Araba
01213,RIVABELLOSA,01XXX Alava/Araba
01213,SALCEDO,01XXX Alava/Araba
01213,SAN MIGUEL,01XXX Alava/Araba
01213,SARATSU,01XXX Alava/Araba
01213,TURISO,01XXX Alava/Araba
01213,VILLABEZANA,01XXX Alava/Araba
01213,ZUBILLAGA,01XXX Alava/Araba
01216,ARLUZEA,01XXX Alava/Araba
01216,FAIDO,01XXX Alava/Araba
01216,FAIDU,01XXX Alava/Araba
01216,MARKINEZ,01XXX Alava/Araba
01216,URARTE,01XXX Alava/Araba
01220,ANTEZANA DE LA RIBERA,01XXX Alava/Araba
01220,ARMIÑON,01XXX Alava/Araba
01220,ESTAVILLO,01XXX Alava/Araba
01220,LACERVILLA,01XXX Alava/Araba
01220,LECIÑANA DE LA OCA,01XXX Alava/Araba
01220,MANZANOS,01XXX Alava/Araba
01220,RIVAGUDA,01XXX Alava/Araba
01230,IRUÑA DE OCA,01XXX Alava/Araba
01230,IRUÑA OKA,01XXX Alava/Araba
01230,LANGRAIZ OKA,01XXX Alava/Araba
01230,NANCLARES DE LA OCA,01XXX Alava/Araba
01240,ALEGRIA,01XXX Alava/Araba
01240,DULANTZI,01XXX Alava/Araba
01250,ARAIA,01XXX Alava/Araba
01250,ASPARRENA,01XXX Alava/Araba
01260,ANDOIN,01XXX Alava/Araba
01260,EGINO,01XXX Alava/Araba
01260,IBARGUREN,01XXX Alava/Araba
01260,ILARDUIA,01XXX Alava/Araba
01260,URABAIN,01XXX Alava/Araba
01300,BIASTERI,01XXX Alava/Araba
01300,LAGUARDIA,01XXX Alava/Araba
01306,LAPUEBLA DE LABARKA,01XXX Alava/Araba
01307,BAÑOS DE EBRO,01XXX Alava/Araba
01307,ESKUERNAGA,01XXX Alava/Araba
01307,MAÑUETA,01XXX Alava/Araba
01307,SAMANIEGO,01XXX Alava/Araba
01307,VILLABUENA DE ALAVA,01XXX Alava/Araba
01308,ASSA,01XXX Alava/Araba
01308,BENASPERI,01XXX Alava/Araba
01308,CAMPILLAR (EL),01XXX Alava/Araba
01308,CRIPAN,01XXX Alava/Araba
01308,KRIPAN,01XXX Alava/Araba
01308,LANCIEGO,01XXX Alava/Araba
01308,LANTZIEGO,01XXX Alava/Araba
01308,VIÑASPRE,01XXX Alava/Araba
01309,BILAR,01XXX Alava/Araba
01309,ELVILLAR,01XXX Alava/Araba
01309,LEZA,01XXX Alava/Araba
01309,NAVARIDAS,01XXX Alava/Araba
01309,PAGANOS,01XXX Alava/Araba
01320,OION,01XXX Alava/Araba
01320,OYON,01XXX Alava/Araba
01321,LASERNA,01XXX Alava/Araba
01322,BARRIOBUSTO,01XXX Alava/Araba
01322,LABRAZA,01XXX Alava/Araba
01322,MOREDA DE ALAVA,01XXX Alava/Araba
01322,MORETA,01XXX Alava/Araba
01322,YECORA,01XXX Alava/Araba
01330,BASTIDA,01XXX Alava/Araba
01330,LABASTIDA,01XXX Alava/Araba
01340,ELCIEGO,01XXX Alava/Araba
01400,LLODIO,01XXX Alava/Araba
01408,LUIAONDO,01XXX Alava/Araba
01409,IRABAIEN,01XXX Alava/Araba
01409,JANDIOLA,01XXX Alava/Araba
01409,OKONDO,01XXX Alava/Araba
01409,OKONDOGOIENA,01XXX Alava/Araba
01409,OKONDOJENA,01XXX Alava/Araba
01409,SAN ROMAN,01XXX Alava/Araba
01409,UGALDE,01XXX Alava/Araba
01409,VILLACHICA,01XXX Alava/Araba
01409,ZUDIBIARTE,01XXX Alava/Araba
01420,ARBIGANO,01XXX Alava/Araba
01420,BASQUIÑUELAS,01XXX Alava/Araba
01420,CAICEDO-SOPEÑA,01XXX Alava/Araba
01420,CASTILLO-SOPEÑA,01XXX Alava/Araba
01420,ERRIBERA GOITI,01XXX Alava/Araba
01420,HEREÑA,01XXX Alava/Araba
01420,PAUL,01XXX Alava/Araba
01420,POBES,01XXX Alava/Araba
01420,RIBERA ALTA,01XXX Alava/Araba
01423,ALCEDO,01XXX Alava/Araba
01423,ATIAGA,01XXX Alava/Araba
01423,ATIEGA,01XXX Alava/Araba
01423,BACHICABO,01XXX Alava/Araba
01423,BARRIO,01XXX Alava/Araba
01423,BELLOJIN,01XXX Alava/Araba
01423,BERGONDA,01XXX Alava/Araba
01423,BERGÜENDA,01XXX Alava/Araba
01423,ESPEJO,01XXX Alava/Araba
01423,FONTECHA,01XXX Alava/Araba
01423,FONTETXA,01XXX Alava/Araba
01423,PUENTELARRA,01XXX Alava/Araba
01423,SOBRON,01XXX Alava/Araba
01423,TUESTA,01XXX Alava/Araba
01423,VILLAMADERNE,01XXX Alava/Araba
01423,VILLAMBROSA,01XXX Alava/Araba
01423,ZUBILARRA,01XXX Alava/Araba
01426,ARREO,01XXX Alava/Araba
01426,ASTULEZ,01XXX Alava/Araba
01426,CARANCA,01XXX Alava/Araba
01426,CARCAMO,01XXX Alava/Araba
01426,FRESNEDA,01XXX Alava/Araba
01426,GESALTZA-AÑANA,01XXX Alava/Araba
01426,NOGRARO,01XXX Alava/Araba
01426,OSMA,01XXX Alava/Araba
01426,SALINAS DE AÑANA,01XXX Alava/Araba
01426,VALDEGOVIA,01XXX Alava/Araba
01426,VILLANAÑE,01XXX Alava/Araba
01426,VILLANUEVA DE VALDEGOVIA,01XXX Alava/Araba
01426,VILORIA,01XXX Alava/Araba
01427,ACEBEDO,01XXX Alava/Araba
01427,ACEBEDO,01XXX Alava/Araba
01427,BASABE,01XXX Alava/Araba
01427,BASABE,01XXX Alava/Araba
01427,BOVEDA,01XXX Alava/Araba
01427,BOVEDA,01XXX Alava/Araba
01427,CORRO,01XXX Alava/Araba
01427,CORRO,01XXX Alava/Araba
01427,GURENDES-QUEJO,01XXX Alava/Araba
01427,GURENDES-QUEJO,01XXX Alava/Araba
01427,LAHOZ,01XXX Alava/Araba
01427,LAHOZ,01XXX Alava/Araba
01427,LALASTRA,01XXX Alava/Araba
01427,LALASTRA,01XXX Alava/Araba
01427,MIOMA,01XXX Alava/Araba
01427,MIOMA,01XXX Alava/Araba
01427,PINEDO,01XXX Alava/Araba
01427,PINEDO,01XXX Alava/Araba
01427,QUEJO,01XXX Alava/Araba
01427,QUEJO,01XXX Alava/Araba
01427,QUINTANILLA DE VALDEGOVIA,01XXX Alava/Araba
01427,QUINTANILLA DE VALDEGOVIA,01XXX Alava/Araba
01427,RIBERA,01XXX Alava/Araba
01427,RIBERA,01XXX Alava/Araba
01427,TOBILLAS,01XXX Alava/Araba
01427,TOBILLAS,01XXX Alava/Araba
01427,VALLUERCA,01XXX Alava/Araba
01427,VALLUERCA,01XXX Alava/Araba
01427,VILLAMARDONES,01XXX Alava/Araba
01427,VILLAMARDONES,01XXX Alava/Araba
01428,ANUCITA,01XXX Alava/Araba
01428,ARTATZA,01XXX Alava/Araba
01428,ARTAZA,01XXX Alava/Araba
01428,BARRON,01XXX Alava/Araba
01428,GUINEA,01XXX Alava/Araba
01428,LASIERRA,01XXX Alava/Araba
01428,MANDAITA,01XXX Alava/Araba
01428,MONTEVITE,01XXX Alava/Araba
01428,MORILLAS,01XXX Alava/Araba
01428,NUVILLA,01XXX Alava/Araba
01428,OLABARRI,01XXX Alava/Araba
01428,OLLAVARRE,01XXX Alava/Araba
01428,ORMIJANA,01XXX Alava/Araba
01428,SUBIJANA-MORILLAS,01XXX Alava/Araba
01428,TUYO,01XXX Alava/Araba
01428,VILLALUENGA,01XXX Alava/Araba
01430,KUARTANGO,01XXX Alava/Araba
01430,ZUHATZU-KUARTANGO,01XXX Alava/Araba
01439,ANDA,01XXX Alava/Araba
01439,ANDAGOIA,01XXX Alava/Araba
01439,APRIKANO,01XXX Alava/Araba
01439,ARRIANO,01XXX Alava/Araba
01439,ARTXUA,01XXX Alava/Araba
01439,ETXABARRI-KUARTANGO,01XXX Alava/Araba
01439,GILLARTE,01XXX Alava/Araba
01439,INURRIETA,01XXX Alava/Araba
01439,JOKANO,01XXX Alava/Araba
01439,KATADIANO,01XXX Alava/Araba
01439,LUNA,01XXX Alava/Araba
01439,MARINDA,01XXX Alava/Araba
01439,SANTA EULALIA,01XXX Alava/Araba
01439,SENDADIANO,01XXX Alava/Araba
01439,TORTURA,01XXX Alava/Araba
01439,URBINA BASABE,01XXX Alava/Araba
01439,URBINA EZA,01XXX Alava/Araba
01439,URIBARRI-KUARTANGO,01XXX Alava/Araba
01439,VILLAMANCA,01XXX Alava/Araba
01440,IZARRA,01XXX Alava/Araba
01440,URKABUSTAIZ,01XXX Alava/Araba
01449,ABEZIA,01XXX Alava/Araba
01449,ABORNIKANO,01XXX Alava/Araba
01449,BELUNTZA,01XXX Alava/Araba
01449,GOIURI-ONDONA,01XXX Alava/Araba
01449,LARRAZKETA,01XXX Alava/Araba
01449,OIARDO,01XXX Alava/Araba
01449,UNZA,01XXX Alava/Araba
01449,UZKIANO,01XXX Alava/Araba
01450,BARANBIO,01XXX Alava/Araba
01450,INOSO,01XXX Alava/Araba
01450,LEKAMAÑA,01XXX Alava/Araba
01450,LEZAMA,01XXX Alava/Araba
01450,ZIORRAGA,01XXX Alava/Araba
01468,ALORIA,01XXX Alava/Araba
01468,ARTOMAÑA,01XXX Alava/Araba
01468,DELIKA,01XXX Alava/Araba
01468,LARRINBE,01XXX Alava/Araba
01468,SARATXO,01XXX Alava/Araba
01468,TERTANGA,01XXX Alava/Araba
01470,AMURRIO,01XXX Alava/Araba
01470,ETXEGOIEN,01XXX Alava/Araba
01474,ARTZINIEGA,01XXX Alava/Araba
01476,AIARA,01XXX Alava/Araba
01476,ARESPALDITZA,01XXX Alava/Araba
01476,AYALA,01XXX Alava/Araba
01476,RESPALDIZA,01XXX Alava/Araba
01477,AÑES,01XXX Alava/Araba
01477,BEOTEGI,01XXX Alava/Araba
01477,COSTERA,01XXX Alava/Araba
01477,ERBI,01XXX Alava/Araba
01477,KEXAA,01XXX Alava/Araba
01477,LEJARZO,01XXX Alava/Araba
01477,LUJO,01XXX Alava/Araba
01477,LUXO,01XXX Alava/Araba
01477,MENAGARAI-BEOTEGI,01XXX Alava/Araba
01477,MENOIO,01XXX Alava/Araba
01477,OZAKA,01XXX Alava/Araba
01477,OZEKA,01XXX Alava/Araba
01477,QUEJANA,01XXX Alava/Araba
01477,RETES DE LLANTENO,01XXX Alava/Araba
01477,ZUAZA,01XXX Alava/Araba
01478,CAMPIJO,01XXX Alava/Araba
01478,GORDELIZ,01XXX Alava/Araba
01478,LLANTENO,01XXX Alava/Araba
01478,MENDIETA,01XXX Alava/Araba
01478,RETES DE TUDELA,01XXX Alava/Araba
01478,SANTA COLOMA,01XXX Alava/Araba
01478,SOJO,01XXX Alava/Araba
01478,SOJOGUTI,01XXX Alava/Araba
01479,AGIÑAGA,01XXX Alava/Araba
01479,IZORIA,01XXX Alava/Araba
01479,MADARIA,01XXX Alava/Araba
01479,MAROÑO,01XXX Alava/Araba
01479,MURGA,01XXX Alava/Araba
01479,OLABEZAR,01XXX Alava/Araba
01479,SALMANTON,01XXX Alava/Araba
01510,BETOLAZA,01XXX Alava/Araba
01510,ERRETANA,01XXX Alava/Araba
01510,GAMARRA GUTXIA,01XXX Alava/Araba
01510,GAMARRA MENOR,01XXX Alava/Araba
01510,LUKO,01XXX Alava/Araba
01510,MIÑANO GOIEN,01XXX Alava/Araba
01510,MIÑANO GUTXIA,01XXX Alava/Araba
01510,MIÑANO MAYOR,01XXX Alava/Araba
01510,MIÑANO MENOR,01XXX Alava/Araba
01510,URBINA,01XXX Alava/Araba
01510,ZIRIANO,01XXX Alava/Araba
01520,AMARITA,01XXX Alava/Araba
01520,ARRAZUA-UBARRUNDIA,01XXX Alava/Araba
01520,ARROIABE,01XXX Alava/Araba
01520,ARZUBIAGA,01XXX Alava/Araba
01520,DURANA,01XXX Alava/Araba
01520,LANDA,01XXX Alava/Araba
01520,LANGARA-GANBOA,01XXX Alava/Araba
01520,MENDIBIL,01XXX Alava/Araba
01520,NANCLARES DE GANBOA,01XXX Alava/Araba
01520,ULLIBARRI-ARRAZUA,01XXX Alava/Araba
01520,ULLIBARRI-GANBOA,01XXX Alava/Araba
01520,ZURBANO,01XXX Alava/Araba
02001,02 ,02XXX Albacete
02002,02 ,02XXX Albacete
02003,02 ,02XXX Albacete
02004,02 ,02XXX Albacete
02005,02 ,02XXX Albacete
02006,02 ,02XXX Albacete
02007,02 ,02XXX Albacete
02049,02 ,02XXX Albacete
02070,02 CODIGO CORRESPONDENCIA OFICIAL CORREOS-TELEGRAFOS,02XXX Albacete
02071,02 CODIGO CORRESPONDENCIA PARA ORGANISMOS OFICIALES,02XXX Albacete
02080,02 CODIGO POSTAL PARA APARTADOS PARTICULARES Y LISTA,02XXX Albacete
02100,TARAZONA DE LA MANCHA,02XXX Albacete
02110,"GINETA, LA",02XXX Albacete
02110,"GRAJUELA, LA",02XXX Albacete
02120,PEÑAS DE SAN PEDRO,02XXX Albacete
02124,ALCADOZO,02XXX Albacete
02124,CASABLANCA,02XXX Albacete
02124,CASASOLA,02XXX Albacete
02124,"HERRERIA, LA",02XXX Albacete
02124,"NAVAZUELA, LA",02XXX Albacete
02124,"NOGUERA, LA",02XXX Albacete
02125,AYNA,02XXX Albacete
